"","weather","risk","treatment","outcome"
"1","wet","high","treated","not-burned"
"2","normal","low","untreated","not-burned"
"3","wet","high","treated","not-burned"
"4","normal","high","treated","not-burned"
"5","wet","low","untreated","not-burned"
"6","wet","low","untreated","not-burned"
"7","dry","low","treated","burned"
"8","normal","low","untreated","not-burned"
"9","wet","low","treated","not-burned"
"10","wet","low","untreated","not-burned"
"11","normal","high","untreated","not-burned"
"12","dry","high","untreated","burned"
"13","wet","low","untreated","not-burned"
"14","normal","low","untreated","not-burned"
"15","normal","high","treated","not-burned"
"16","dry","low","untreated","not-burned"
"17","normal","low","treated","not-burned"
"18","normal","low","treated","not-burned"
"19","wet","low","treated","not-burned"
"20","normal","low","treated","not-burned"
"21","normal","low","untreated","not-burned"
"22","dry","high","untreated","not-burned"
"23","normal","low","untreated","not-burned"
"24","wet","low","untreated","not-burned"
"25","normal","low","untreated","not-burned"
"26","dry","low","untreated","burned"
"27","wet","low","untreated","not-burned"
"28","normal","low","untreated","not-burned"
"29","dry","low","treated","burned"
"30","normal","low","treated","not-burned"
"31","normal","high","treated","not-burned"
"32","normal","low","treated","not-burned"
"33","normal","high","treated","not-burned"
"34","wet","high","treated","not-burned"
"35","wet","low","treated","not-burned"
"36","normal","low","untreated","not-burned"
"37","normal","high","treated","not-burned"
"38","normal","low","treated","not-burned"
"39","dry","low","untreated","not-burned"
"40","dry","high","treated","not-burned"
"41","normal","high","treated","not-burned"
"42","dry","low","treated","burned"
"43","wet","low","untreated","not-burned"
"44","dry","high","treated","burned"
"45","dry","high","treated","not-burned"
"46","dry","high","treated","not-burned"
"47","wet","low","untreated","not-burned"
"48","normal","high","treated","not-burned"
"49","normal","low","treated","not-burned"
"50","wet","low","treated","not-burned"
"51","normal","low","untreated","not-burned"
"52","wet","high","untreated","not-burned"
"53","normal","low","untreated","not-burned"
"54","normal","low","treated","not-burned"
"55","wet","low","untreated","not-burned"
"56","normal","low","treated","not-burned"
"57","normal","low","treated","not-burned"
"58","wet","low","untreated","not-burned"
"59","wet","low","untreated","not-burned"
"60","wet","low","treated","not-burned"
"61","normal","low","untreated","not-burned"
"62","wet","low","untreated","not-burned"
"63","dry","high","treated","not-burned"
"64","normal","low","untreated","not-burned"
"65","normal","low","treated","not-burned"
"66","wet","low","untreated","not-burned"
